"scen_id","n","pi0","power","alpha","method","mean_fdp","exceed","H","delta_ecdf","tau","alpha_cqr","max_weight"
"L11",8,0.4,0.35,0.1,"SCOUT_safe",0.395398439651377,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L11",8,0.4,0.35,0.1,"SCOUT_both",0.397733080525372,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L11",8,0.4,0.35,0.1,"SCOUT_confOnly",0.397473710659521,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L12",8,0.7,0.35,0.01,"BH",0.235,0.27,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L12",8,0.7,0.35,0.01,"Storey",0.309166666666667,0.36,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L12",8,0.7,0.35,0.01,"SCOUT_safe",0.354,0.42,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L12",8,0.7,0.35,0.01,"SCOUT_both",0.460666666666667,0.55,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L12",8,0.7,0.35,0.01,"SCOUT_confOnly",0.44047619047619,0.56,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L12",8,0.7,0.35,0.05,"BH",0.579348275644038,0.83,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L12",8,0.7,0.35,0.05,"Storey",0.67953533368648,0.95,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L12",8,0.7,0.35,0.05,"SCOUT_safe",0.681682648958678,0.96,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L12",8,0.7,0.35,0.05,"SCOUT_both",0.697126095023833,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L12",8,0.7,0.35,0.05,"SCOUT_confOnly",0.705857188692342,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L12",8,0.7,0.35,0.1,"BH",0.695927355304944,0.99,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L12",8,0.7,0.35,0.1,"Storey",0.703181178241983,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L12",8,0.7,0.35,0.1,"SCOUT_safe",0.704499168184822,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L12",8,0.7,0.35,0.1,"SCOUT_both",0.702734364908225,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L12",8,0.7,0.35,0.1,"SCOUT_confOnly",0.700257652877486,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L13",10,0.2,0.5,0.01,"BH",0.198625274379519,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L13",10,0.2,0.5,0.01,"Storey",0.19845502416781,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L13",10,0.2,0.5,0.01,"SCOUT_safe",0.200430032274895,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L13",10,0.2,0.5,0.01,"SCOUT_both",0.198460463806164,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L13",10,0.2,0.5,0.01,"SCOUT_confOnly",0.198833894669625,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L13",10,0.2,0.5,0.05,"BH",0.198121543434547,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L13",10,0.2,0.5,0.05,"Storey",0.198787035889765,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L13",10,0.2,0.5,0.05,"SCOUT_safe",0.197218345132281,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L13",10,0.2,0.5,0.05,"SCOUT_both",0.199301373700864,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L13",10,0.2,0.5,0.05,"SCOUT_confOnly",0.199447238535779,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L13",10,0.2,0.5,0.1,"BH",0.19930838318147,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L13",10,0.2,0.5,0.1,"Storey",0.199644355219844,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L13",10,0.2,0.5,0.1,"SCOUT_safe",0.199156034967917,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L13",10,0.2,0.5,0.1,"SCOUT_both",0.199731232786862,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L13",10,0.2,0.5,0.1,"SCOUT_confOnly",0.199505999954585,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L14",10,0.4,0.5,0.01,"BH",0.415697940647875,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L14",10,0.4,0.5,0.01,"Storey",0.408729290205306,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L14",10,0.4,0.5,0.01,"SCOUT_safe",0.414276772185437,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L14",10,0.4,0.5,0.01,"SCOUT_both",0.405197842235597,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L14",10,0.4,0.5,0.01,"SCOUT_confOnly",0.405062674153806,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L14",10,0.4,0.5,0.05,"BH",0.398964347719685,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L14",10,0.4,0.5,0.05,"Storey",0.398256505470024,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L14",10,0.4,0.5,0.05,"SCOUT_safe",0.398650824281018,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L14",10,0.4,0.5,0.05,"SCOUT_both",0.399157949238145,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L14",10,0.4,0.5,0.05,"SCOUT_confOnly",0.399437593105442,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L14",10,0.4,0.5,0.1,"BH",0.398378551440311,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L14",10,0.4,0.5,0.1,"Storey",0.39805135316428,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L14",10,0.4,0.5,0.1,"SCOUT_safe",0.398718388829988,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L14",10,0.4,0.5,0.1,"SCOUT_both",0.399359314451378,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L14",10,0.4,0.5,0.1,"SCOUT_confOnly",0.399035144093164,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L15",10,0.7,0.5,0.01,"BH",0.677162308807638,0.96,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L15",10,0.7,0.5,0.01,"Storey",0.709760964078935,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L15",10,0.7,0.5,0.01,"SCOUT_safe",0.707320623570043,0.99,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L15",10,0.7,0.5,0.01,"SCOUT_both",0.706066770933611,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L15",10,0.7,0.5,0.01,"SCOUT_confOnly",0.687467936517856,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
"L15",10,0.7,0.5,0.05,"BH",0.697594694450706,1,"0.02,0.05,0.1",0.005,0.7,0.03,3
